CODIGO_OACI;CIAD;NOME;MUNICÍPIO ATENDIDO;UF;LATITUDE;LONGITUDE;ALTITUDE
SBAA;PA0008;CONCEIÇÃO DO ARAGUAIA;CONCEIÇÃO DO ARAGUAIA;PA;8° 20' 55'' S;49° 18' 11'' W;199 m
SBAE;SP0010;BAURU/AREALVA;BAURU;SP;22° 9' 28'' S;49° 4' 6'' W;598 m
SBAQ;SP0012;BARTOLOMEU DE GUSMÃO;ARARAQUARA;SP;21° 48' 16'' S;48° 8' 25'' W;711 m
SBAR;SE0001;SANTA MARIA;ARACAJU;SE;10° 59' 7'' S;37° 4' 24'' W;7 m
SBAT;MT0003;PILOTO OSVALDO MARQUES DIAS;ALTA FLORESTA;MT;9° 51' 59'' S;56° 6' 18'' W;289 m
SBAU;SP0009;ARAÇATUBA;ARAÇATUBA;SP;21° 8' 39'' S;50° 25' 35'' W;414 m
SBAX;MG0008;ROMEU ZEMA;ARAXÁ;MG;19° 33' 38'' S;46° 57' 56'' W;999 m
SBBE;PA0001;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO;BELÉM;PA;1° 23' 5'' S;48° 28' 44'' W;17 m
SBBG;RS0010;COMANDANTE GUSTAVO KRAEMER;BAGÉ;RS;31° 23' 27'' S;54° 6' 35'' W;186 m
SBBH;MG0003;PAMPULHA - CARLOS DRUMMOND DE ANDRADE;BELO HORIZONTE;MG;19° 51' 7'' S;43° 57' 2'' W;789 m
SBBI;PR0006;BACACHERI;CURITIBA;PR;25° 24' 12'' S;49° 14' 1'' W;932 m
SBBP;SP0036;ESTADUAL ARTHUR SIQUEIRA;BRAGANÇA PAULISTA;SP;22° 58' 45'' S;46° 32' 15'' W;893 m
SBBR;DF0001;PRESIDENTE JUSCELINO KUBITSCHEK;BRASÍLIA;DF;15° 52' 16'' S;47° 55' 7'' W;1066 m
SBBU;SP0017;BAURU;BAURU;SP;22° 20' 37'' S;49° 3' 14'' W;617 m
SBBV;RR0001;ATLAS BRASIL CANTANHEDE;BOA VISTA;RR;2° 50' 29'' N;60° 41' 32'' W;84 m
SBBW;MT0008;BARRA DO GARÇAS;BARRA DO GARÇAS;MT;15° 51' 39'' S;52° 23' 22'' W;350 m
SBCA;PR0005;CORONEL ADALBERTO MENDES DA SILVA;CASCAVEL;PR;25° 0' 8'' S;53° 30' 7'' W;759 m
SBCB;RJ0003;CABO FRIO;CABO FRIO;RJ;22° 55' 15'' S;42° 4' 17'' W;7 m
SBCD;SC0006;CARLOS ALBERTO DA COSTA NEVES;CAÇADOR;SC;26° 47' 23'' S;50° 56' 23'' W;1029 m
SBCF;MG0001;TANCREDO NEVES;CONFINS;MG;19° 37' 28'' S;43° 58' 19'' W;829 m
SBCG;MS0001;CAMPO GRANDE;CAMPO GRANDE;MS;20° 28' 10'' S;54° 40' 13'' W;559 m
SBCH;SC0003;SERAFIN ENOSS BERTASO;CHAPECÓ;SC;27° 8' 2'' S;52° 39' 43'' W;654 m
SBCI;MA0003;BRIGADEIRO LYSIAS AUGUSTO RODRIGUES;CAROLINA;MA;7° 19' 14'' S;47° 27' 31'' W;172 m
SBCJ;PA0006;CARAJÁS;PARAUAPEBAS;PA;6° 6' 55'' S;50° 0' 5'' W;629 m
SSIM;SC0009;FORQUILHINHA/CRICIÚMA (SBCM*);FORQUILHINHA;SC;28° 43' 28'' S;49° 25' 17'' W;28 m
SBCN;GO0003;NELSON RODRIGUES GUIMARÃES;CALDAS NOVAS;GO;17° 43' 29'' S;48° 36' 36'' W;685 m
SBCP;RJ0006;BARTOLOMEU LISANDRO;CAMPOS DOS GOYTACAZES;RJ;21° 42' 4'' S;41° 18' 28'' W;17 m
SBCR;MS0009;CORUMBÁ;CORUMBÁ;MS;19° 0' 43'' S;57° 40' 17'' W;141 m
SBCT;PR0001;AFONSO PENA;CURITIBA;PR;25° 31' 54'' S;49° 10' 34'' W;911 m
SBCX;RS0007;HUGO CANTERGIANI;CAXIAS DO SUL;RS;29° 11' 44'' S;51° 11' 23'' W;754 m
SBCY;MT0001;MARECHAL RONDON;VÁRZEA GRANDE;MT;15° 39' 0'' S;56° 7' 3'' W;188 m
SSCL;MS0018;CASSILÂNDIA;CASSILÂNDIA;MS;19° 8' 49'' S;51° 40' 35'' W;481 m
SBDB;MS0004;BONITO;BONITO;MS;21° 14' 50'' S;56° 27' 9'' W;334 m
SBDN;SP0005;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;SP;22° 10' 42'' S;51° 25' 8'' W;452 m
