Aeródromo;;;;;Geoespacial;;;Operação;Internacionalização;;Pista 1;;;;;Pista 2;;;;;Pista 3;;;;;Heliponto;;;;;;;;;Atos normativos;;;;Classe RBAC 107;Classe RBAC 153;Categoria Tarifária;Especificação Operativa;;;;;;;Medidas Administrativas;;;Outros;
CÓDIGO OACI;CIAD;NOME;MUNICÍPIO ATENDIDO;UF;LATITUDE;LONGITUDE;ALTITUDE;OPERAÇÃO;OACI;AIP BRASIL;DESIGNAÇÃO;COMPRIMENTO;LARGURA;RESISTÊNCIA;SUPERFÍCIE;DESIGNAÇÃO;COMPRIMENTO;LARGURA;RESISTÊNCIA;SUPERFÍCIE;DESIGNAÇÃO;COMPRIMENTO;LARGURA;RESISTÊNCIA;SUPERFÍCIE;RAMPA(S) DE APROXIMAÇÃO;FORMATO DA ÁREA DE POUSO;DIMENSÕES;RESISTÊNCIA;SUPERFÍCIE;p1;p2;p3;p4;PORTARIAS;;;;Portaria nº 7.445/2022;"PORTARIA Nº 4601/2021
A Classe I se divide ainda em I-A, sem voo regular e I-B, com voo regular";"PORTARIA Nº 2007/2014 E ALTERAÇÕES
(* = REGIME TARIFÁRIO DIFERENCIADO)";AERONAVE CRÍTICA;TIPO DE APROX. (CABECEIRAS);FREQ. SEMANAL;r1;r2;REFERÊNCIA(S);RESTRIÇÃO(ÕES);SITUAÇÃO;r1;REFERÊNCIA;SITUADO NA AMAZÔNIA LEGAL;OBSERVAÇÕES
SBAA;PA0008;CONCEIÇÃO DO ARAGUAIA;CONCEIÇÃO DO ARAGUAIA;PA;8° 20' 55'' S;49° 18' 11'' W;199 m;VFR Diurno/Noturno e IFR Diurno;-;-; 08/26;1800 m;30 m;PCN 47/F/C/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-3953;0;0;0;PA2021-3953;;;;AP-0;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;X;-
SBAE;SP0010;BAURU/AREALVA;BAURU;SP;22° 9' 28'' S;49° 4' 6'' W;598 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 17/35;2010 m;45 m;PCN 42/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-4952;0;0;0;PA2021-4952;;;;AP-1;Classe I;3ª;4C;NPA;5;-;PA2016-0908;-;PA2016-0908;-;-;-;;-
SBAQ;SP0012;BARTOLOMEU DE GUSMÃO;ARARAQUARA;SP;21° 48' 16'' S;48° 8' 25'' W;711 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 17/35;1800 m;30 m;PCN 40/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2017-2889;0;0;0;PA2017-2889;;;;AP-0;Classe I;3ª;3C;NPA;11;-;PA2016-0908;-;PA2016-0908;-;-;-;;-
SBAR;SE0001;SANTA MARIA;ARACAJU;SE;10° 59' 7'' S;37° 4' 24'' W;7 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 12/30;2200 m;45 m;PCN 48/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-3773;0;0;0;PA2020-3773;;;;AP-2;Classe III;2ª;4C;"NPA(11;29)";N/A;PA2022-7303 / PA2020-0406 / PA2021-4220;-;PA2022-7303 / PA2020-0406 / PA2021-4220;-;-;-;-;;-
SBAT;MT0003;PILOTO OSVALDO MARQUES DIAS;ALTA FLORESTA;MT;9° 51' 59'' S;56° 6' 18'' W;289 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 04/22;2500 m;30 m;PCN 29/F/C/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-5745;0;0;0;PA2021-5745;;;;AP-1;Classe I;3ª;4C;NPA;15;-;PA2016-0908 / PA2018-0389 / PA2018-0390;-;PA2016-0908 / PA2018-0389 / PA2018-0390;-;-;-;X;-
SBAU;SP0009;ARAÇATUBA;ARAÇATUBA;SP;21° 8' 39'' S;50° 25' 35'' W;414 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 05/23;2120 m;35 m;PCN 26/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-3951;0;0;0;PA2021-3951;;;;AP-1;Classe I;3ª;3C;NPA;32;-;PA2016-0908;-;PA2016-0908;-;-;-;;-
SBAX;MG0008;ROMEU ZEMA;ARAXÁ;MG;19° 33' 38'' S;46° 57' 56'' W;999 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 15/33;1900 m;30 m;PCN 26/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PD2005-1273;0;0;0;PD2005-1273;;;;AP-0;Classe I;3ª;3C;NPA;12;-;PA2016-0908;-;PA2016-0908;-;-;-;;-
SBBE;PA0001;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO;BELÉM;PA;1° 23' 5'' S;48° 28' 44'' W;17 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 06/24;2800 m;45 m;PCN 65/F/A/X/T;Asfalto; 02/20;1830 m;45 m;PCN 50/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;PA2016-1883;0;0;0;PA2016-1883;;;;AP-2;Classe III;1ª;4E;"PA1(06) / NPA(24;02;20)";N/A;PA2017-3043;-;PA2017-3043;-;-;-;-;X;-
SBBG;RS0010;COMANDANTE GUSTAVO KRAEMER;BAGÉ;RS;31° 23' 27'' S;54° 6' 35'' W;186 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RNS;INTL PAX; 06/24;1500 m;30 m;PCN 18/R/A/Y/T;Concreto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-2459;0;0;0;PA2018-2459;;;;AP-1;Classe I;3ª;3C;NPA;N/A;PA2022-7436;-;PA2022-7436;-;-;-;-;;-
